place_id,gdp_total,gdp_per_capita,gdp_growth,hdi,pop_density,median_age,internet_user,gini,forest_area,co2_per_capita,avg_temp
Moldova,16.71,6799.59,1.2,,85.44,,,,11.74,,
Mongolia,20.33,5838.63,7.42,,2.23,,,,9.09,,
Montenegro,7.64,12259.88,6.48,,46.36,,,,61.49,,
Morocco,146.04,3813.73,3.66,,84.5,,,,12.94,,
Mozambique,20.92,622.0,5.48,,42.77,,,,45.81,,
Myanmar,66.76,1233.2,0.96,,82.94,,,,42.4,,
Namibia,12.41,4187.61,4.44,,3.6,,,,7.81,,
Nepal,41.05,1382.33,1.98,,207.15,,,,41.59,,
Netherlands,1135.48,63515.6,-0.6,,530.95,,,,11.06,,
New Caledonia,9.77,33701.89,2.8,,15.86,,,,45.83,,
New Zealand,255.19,49075.96,1.39,,19.75,,,,37.79,,
Nicaragua,17.81,2609.44,4.43,,56.7,,,,25.82,,
Niger,16.7,638.34,1.67,,20.65,,,,0.82,,
Nigeria,487.39,2138.76,3.33,,250.21,,,,23.21,,
North Korea,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,
Norway,482.95,87497.22,0.07,,15.15,,,,33.5,,
Oman,106.17,21027.74,1.41,,16.31,,,,0.01,,
Pakistan,336.69,1360.32,-0.41,,321.07,,,,4.67,,
Panama,83.81,18797.19,7.17,,60.11,,,,56.34,,
Papua New Guinea,30.82,2966.07,3.81,,22.94,,,,78.95,,
Paraguay,43.12,6299.99,5.0,,17.28,,,,38.54,,
Peru,266.96,7887.54,-0.4,,26.44,,,,56.1,,
Philippines,437.06,3804.08,5.52,,385.32,,,,24.46,,
Poland,812.45,22145.27,0.25,,119.79,,,,31.08,,
Portugal,292.32,27634.62,3.1,,115.48,,,,36.15,,
Puerto Rico,,,,,,,,,,,
Qatar,217.31,81816.98,1.54,,231.16,,,,0.0,,
Republic of Serbia,,,,,,,,,,,
Republic of the Congo,,,,,,,,,,,
Romania,347.76,18244.42,2.26,,82.85,,,,30.12,,
Russia,,,,,,,,,,,
Rwanda,14.33,1027.03,8.25,,565.65,,,,11.31,,
Saudi Arabia,1218.58,36156.85,0.54,,15.68,,,,0.45,,
Senegal,30.7,1698.03,4.26,,93.89,,,,41.28,,
Sierra Leone,6.42,758.33,5.71,,117.21,,,,34.3,,
Slovakia,,,,,,,,,,,
Slovenia,69.26,32660.48,2.38,,105.31,,,,61.17,,
Solomon Islands,1.51,1882.64,2.84,,28.58,,,,90.06,,
Somalia,,,,,,,,,,,
Somaliland,,,,,,,,,,,
South Africa,381.44,6034.27,0.81,,52.11,,,,13.97,,
South Korea,,,,,,,,,,,
South Sudan,,,,,18.17,,,,11.33,,
Spain,1619.48,33493.22,2.46,,96.76,,,,37.19,,
Sri Lanka,83.72,3798.89,-2.33,,356.24,,,,34.0,,
Sudan,39.9,797.28,-29.43,,26.79,,,,9.55,,
Suriname,3.47,5521.98,2.42,,3.92,,,,94.45,,
Swaziland,,,,,,,,,,,
Sweden,578.99,54950.28,-0.2,,25.87,,,,68.7,,
Switzerland,894.42,100623.55,0.68,,224.98,,,,32.38,,
Syria,,,,,,,,,,,
Taiwan,,,,,,,,,,,
Tajikistan,12.24,1178.48,8.3,,74.86,,,,3.08,,
Thailand,515.91,7195.1,2.02,,140.35,,,,38.69,,
The Bahamas,,,,,,,,,,,
Togo,9.82,1055.02,6.19,,171.07,,,,22.07,,
Trinidad and Tobago,25.04,18308.45,1.47,,266.57,,,,44.24,,
Tunisia,48.21,3951.12,0.18,,78.53,,,,4.55,,
Turkey,,,,,,,,,,,
Turkmenistan,45.89,6231.91,6.3,,15.67,,,,8.78,,
Uganda,48.77,1002.31,5.34,,242.65,,,,11.04,,
Ukraine,181.22,5139.6,5.53,,65.12,,,,16.76,,
