place_id,gdp_total,gdp_per_capita,gdp_growth,pop_density,gini,forest_area,co2_per_capita,internet_user,hdi,median_age,avg_temp
United States of America,28750956130731.2,84534.0407841548,2.79300127716779,36.8198061311277,,33.8669264120375,,,,,
China,18743803170827.2,13303.1481543868,4.9773565917572,150.264001337848,,24.0319389958256,,,,,
Germany,4685592577804.69,56103.7323182554,-0.495851897260366,238.351810090719,,32.6789342643734,,,,,
Japan,4027597523550.58,32487.0778047567,0.104309021773304,341.54455749932,,68.3957811364628,,,,,
India,3909891533858.08,2694.73780859961,6.49476552383821,483.679010086809,,24.5390304689576,,70.0,,,
United Kingdom,3686033044482.13,53246.3676145108,1.1264226705118,283.106683751498,,13.2907130161617,,,,,
France,3160442622465.08,46103.0840855884,1.19046798275883,126.862020595603,,32.4764820484275,,,,,
Italy,2380825077243.59,40385.3413957669,0.692676948440536,199.459678073854,,32.8944947923712,,,,,
Canada,2243636826633.76,54340.3477224733,1.55479521049516,4.56079784268436,,39.4617117321106,,,,,
Brazil,2185821648943.86,10310.5488778166,3.41931516597739,25.2616884857157,,58.9818729765235,,,,,
Russia,2173835806671.66,14889.0185546875,4.34437475491529,8.78227219242749,,49.7843605035639,,,,,
South Korea,1875388209406.8,36238.639908315,2.00361101838986,529.842407786885,,64.108606557377,,,,,
Mexico,1856365616165.94,14185.7812248529,1.42742769080466,66.7402757272564,,33.5959176419147,,,,,
Australia,1757022451652.83,64603.9856308464,1.37340773365975,3.46591948538875,,17.4213145571644,,,,,
Spain,1725671652742.19,35326.7683069278,3.45525405630191,96.7636173412149,,37.1925889548355,,,,,
Indonesia,1396300098190.97,4925.43048751861,5.03034469419038,148.57692229227,34.9,47.7220336902463,,,,,
Turkey,1359123768774.12,15892.7157287241,3.3276230893799,110.866214934449,,29.4795681041539,,,,,
Saudi Arabia,1239804533333.33,35121.6628687742,1.99650173436159,15.6779493787476,,0.454484134921779,,,,,
Netherlands,1214927698572.66,67520.4218956281,1.08100584845663,530.950905850906,,11.0574428274428,,,,,
Switzerland,936564198048.516,103998.186685604,1.30233332541106,224.978619136651,,32.3827380818297,,,,,
Poland,917767106146.761,25103.565661423,3.02841630700273,119.787615502661,,31.0804192379273,,,,,
Belgium,671370081636.406,56614.5679499036,1.07045413019414,386.303731881682,,22.604446776415,,,,,
Argentina,638365455340.04,13969.7836603737,-1.34293072157739,16.6399559321662,42.4,10.3212951412107,,,,,
Ireland,609157459747.205,112894.953240805,2.59946721553708,77.1017273914937,,11.5259108724053,,,,,
Sweden,603715224265.798,57117.4877440616,0.820071806703865,25.8713678886243,,68.7013529108454,,,,,
United Arab Emirates,552324846834.581,50273.5060469837,3.99180705485398,147.616882568291,,4.46775556181357,,,,,
Singapore,547386645891.847,90674.066632628,4.38802362461865,8241.8495821727,,20.933147632312,,,,,
Israel,540379921261.681,54176.6844383302,0.871968424377442,455.129390018484,,6.46950092421442,,,,,
Austria,534790720466.822,58268.8787651601,-0.659089573171372,110.661185167232,,47.2402653902084,,,,,
Thailand,526517658841.684,7346.62022142185,2.54182067735289,140.348088629646,,38.6873886746658,,,,,
Norway,483592648313.301,86785.4334489176,2.09723059960317,15.1524995195871,,33.5009745518434,,,,,
Iran,475252089215.416,5190.16959024821,3.66312056830718,55.8451198767334,,6.64923611710324,,,,,
Philippines,461617509782.355,3984.8315387656,5.69201612823412,385.321122178623,,24.4600731126539,,,,,
Bangladesh,450119432068.852,2593.41611680774,4.22325911250161,1319.17979689183,,14.4899215263887,,,,,
Denmark,424524722037.047,71026.4832271897,3.47783593140312,148.6738,,15.7815,,,,,
Malaysia,422227005428.688,11874.4273684245,5.10545921024041,106.913096941105,,57.7190381981434,,,,,
Colombia,418818154879.271,7919.20886825345,1.5983315366523,47.1574150518251,,52.7661596214511,,,,,
South Africa,401144998373.585,6267.186814093,0.534843531905139,52.1085690262058,,13.965072665672,,,,,
Egypt,389059911003.566,3338.47371395895,2.3991692678251,115.059291777588,,0.0451855944547692,,,,,
Romania,382564217988.866,20080.2096215595,0.916003764382594,82.8453668289291,,30.1158292767733,,,,,
Pakistan,371570000121.266,1478.77277977996,3.04898287335465,321.067474833956,,4.67242631797426,,,,,
Chile,330267137371.592,16709.8893972307,2.64431154871538,26.4647249005172,,25.0116461113584,,,,,
Portugal,313271185085.102,29292.242104753,2.13967177177636,115.475189289738,,36.154994891142,,,,,
Finland,298696961297.656,53149.7671934051,0.416171964862073,18.3705454665088,,73.7235162521384,,,,,
Kazakhstan,291480274648.826,14154.6324958076,4.99999999996936,7.53050487091158,,1.31214516427751,,,,,
Peru,289221969062.941,8452.37167056621,3.30394098171516,26.44188828125,40.1,56.103020234375,,,,,
Iraq,279641257615.385,6073.61032342708,-1.54525198318304,103.826155759795,,1.90035242899592,,,,,
Algeria,269322281664.773,5752.99076651465,3.69999999907979,19.3825602290762,,0.830314224054683,,,,,
New Zealand,260172385097.616,49205.1792146792,1.28862004711685,19.7485853176864,,37.7892841137822,,,,,
Greece,256238371778.118,24626.1481858973,2.0865743380603,80.7397284716835,,30.2699767261443,,,,,
Nigeria,252261880141.151,1084.16041805436,4.06236408888319,250.20910328623,,23.2078900271199,,,,,
